purchase_id,student_id,subscription_id,subscription,refunds,price,refund_id,refunded_date,first_purchase_date,current_purchase_date,revenue_type,student_country
6659,11420,0,lifetime,net revenue,199,NULL,NULL,7/3/2019 3:00,7/3/2019 3:00,new,CH
6658,127223,0,lifetime,refund,199,NULL,7/15/2019 16:37,7/9/2019 3:00,7/9/2019 3:00,new,
6657,11872,0,lifetime,net revenue,199,NULL,NULL,7/11/2019 3:00,7/11/2019 3:00,new,US
6656,1068,0,lifetime,net revenue,199,NULL,NULL,7/24/2019 3:00,7/24/2019 3:00,new,EG
6655,9561,0,lifetime,net revenue,199,NULL,NULL,7/29/2019 3:00,7/29/2019 3:00,new,US
6654,2498,0,lifetime,net revenue,150,NULL,NULL,8/9/2019 3:00,8/9/2019 3:00,new,RU
6653,127222,0,lifetime,net revenue,199,NULL,NULL,8/10/2019 3:00,8/10/2019 3:00,new,
6652,28517,0,lifetime,refund,199,NULL,8/19/2019 9:18,8/15/2019 3:00,8/15/2019 3:00,new,US
6651,127221,0,lifetime,net revenue,199,NULL,NULL,8/21/2019 3:00,8/21/2019 3:00,new,
6650,127220,0,lifetime,net revenue,199,NULL,NULL,9/5/2019 3:00,9/5/2019 3:00,new,
6648,127219,0,lifetime,net revenue,199,NULL,NULL,9/21/2019 3:00,9/21/2019 3:00,new,
6649,4710,0,lifetime,net revenue,199,NULL,NULL,9/21/2019 3:00,9/21/2019 3:00,new,IL
6647,2147,0,lifetime,net revenue,400,NULL,NULL,10/10/2019 3:00,10/10/2019 3:00,new,ZA
6646,76964,0,lifetime,net revenue,199,NULL,NULL,10/21/2019 3:00,10/21/2019 3:00,new,TN
6645,989,0,lifetime,net revenue,199,NULL,NULL,11/5/2019 2:00,11/5/2019 2:00,new,IT
6643,6933,0,lifetime,net revenue,199,NULL,NULL,11/11/2019 2:00,11/11/2019 2:00,new,CA
6644,106068,0,lifetime,net revenue,199,NULL,NULL,11/11/2019 2:00,11/11/2019 2:00,new,GB
6642,17732,0,lifetime,net revenue,199,NULL,NULL,11/13/2019 2:00,11/13/2019 2:00,new,US
6641,8016,0,lifetime,net revenue,199,NULL,NULL,11/18/2019 2:00,11/18/2019 2:00,new,IN
6640,2102,0,lifetime,net revenue,400,NULL,NULL,11/25/2019 2:00,11/25/2019 2:00,new,US
6639,14774,0,lifetime,net revenue,199,NULL,NULL,12/7/2019 2:00,12/7/2019 2:00,new,GB
6637,22413,0,lifetime,net revenue,199,NULL,NULL,12/21/2019 2:00,12/21/2019 2:00,new,AU
6638,134685,0,lifetime,net revenue,199,NULL,NULL,12/21/2019 2:00,12/21/2019 2:00,new,
6636,134687,0,lifetime,net revenue,199,NULL,NULL,12/23/2019 2:00,12/23/2019 2:00,new,
6635,18606,0,lifetime,net revenue,199,NULL,NULL,1/11/2020 2:00,1/11/2020 2:00,new,US
6634,22663,0,lifetime,net revenue,199,NULL,NULL,1/13/2020 2:00,1/13/2020 2:00,new,US
6633,1485,0,lifetime,net revenue,199,NULL,NULL,1/15/2020 2:00,1/15/2020 2:00,new,PH
6632,8815,0,lifetime,net revenue,199,NULL,NULL,1/20/2020 2:00,1/20/2020 2:00,new,SE
2,139664,0,monthly,net revenue,40.19,NULL,NULL,1/27/2020 0:00,1/27/2020 0:00,new,
3,1170,0,annual,net revenue,221.41,NULL,NULL,1/28/2020 0:00,1/28/2020 0:00,new,GB
4,6366,0,annual,net revenue,421.28,NULL,NULL,1/28/2020 0:00,1/28/2020 0:00,new,NL
6,24897,0,monthly,net revenue,38.25,NULL,NULL,1/29/2020 0:00,1/29/2020 0:00,new,US
7,6822,0,monthly,net revenue,36,NULL,NULL,1/29/2020 0:00,1/29/2020 0:00,new,DE
8,2765,0,monthly,net revenue,31.18,NULL,NULL,1/29/2020 0:00,1/29/2020 0:00,new,US
9,31627,0,monthly,net revenue,28.8,NULL,NULL,1/29/2020 0:00,1/29/2020 0:00,new,US
6631,22351,0,lifetime,net revenue,199,NULL,NULL,1/29/2020 2:00,1/29/2020 2:00,new,US
7014,1495,0,annual,net revenue,184.44,NULL,NULL,1/30/2020 2:00,1/30/2020 2:00,new,IT
10,72381,0,monthly,net revenue,31.18,NULL,NULL,1/31/2020 0:00,1/31/2020 0:00,new,US
11,26416,0,monthly,net revenue,36,NULL,NULL,1/31/2020 0:00,1/31/2020 0:00,new,NG
12,4698,0,monthly,net revenue,28.8,NULL,NULL,1/31/2020 0:00,1/31/2020 0:00,new,US
6630,3349,0,lifetime,refund,199,NULL,1/31/2020 9:25,1/31/2020 2:00,1/31/2020 2:00,new,SG
13,2622,0,annual,net revenue,198.65,NULL,NULL,2/1/2020 0:00,2/1/2020 0:00,new,CH
14,2714,0,annual,net revenue,417.29,NULL,NULL,2/1/2020 0:00,2/1/2020 0:00,new,GB
15,23694,0,monthly,net revenue,28.8,NULL,NULL,2/2/2020 0:00,2/2/2020 0:00,new,US
16,2851,0,annual,net revenue,203.37,NULL,NULL,2/2/2020 0:00,2/2/2020 0:00,new,AU
17,22735,0,monthly,net revenue,45.1,NULL,NULL,2/2/2020 0:00,2/2/2020 0:00,new,SE
18,135384,0,monthly,net revenue,35.98,NULL,NULL,2/3/2020 0:00,2/3/2020 0:00,new,
19,125191,0,monthly,net revenue,36,NULL,NULL,2/3/2020 0:00,2/3/2020 0:00,new,US
20,20134,0,monthly,net revenue,43.91,NULL,NULL,2/3/2020 0:00,2/3/2020 0:00,new,BG
21,3755,0,annual,net revenue,184.05,NULL,NULL,2/4/2020 0:00,2/4/2020 0:00,new,BR
22,3630,0,annual,net revenue,200.58,NULL,NULL,2/4/2020 0:00,2/4/2020 0:00,new,US
23,3003,0,annual,net revenue,331.57,NULL,NULL,2/4/2020 0:00,2/4/2020 0:00,new,DE
24,12387,0,monthly,net revenue,33.94,NULL,NULL,2/5/2020 0:00,2/5/2020 0:00,new,IN
25,6899,0,annual,net revenue,197.35,NULL,NULL,2/5/2020 0:00,2/5/2020 0:00,new,US
6629,3292,0,lifetime,net revenue,199,NULL,NULL,2/6/2020 2:00,2/6/2020 2:00,new,NL
7013,127246,0,annual,net revenue,233.16,NULL,NULL,2/6/2020 2:00,2/6/2020 2:00,new,
26,135382,0,monthly,net revenue,36,NULL,NULL,2/7/2020 0:00,2/7/2020 0:00,new,
27,135383,0,monthly,net revenue,30.53,NULL,NULL,2/7/2020 0:00,2/7/2020 0:00,new,
28,3565,0,annual,net revenue,184.44,NULL,NULL,2/8/2020 0:00,2/8/2020 0:00,new,MY
29,35511,0,monthly,net revenue,28.8,NULL,NULL,2/8/2020 0:00,2/8/2020 0:00,new,US
30,51952,0,monthly,net revenue,28.8,NULL,NULL,2/8/2020 0:00,2/8/2020 0:00,new,US
31,9101,0,annual,net revenue,184.44,NULL,NULL,2/9/2020 0:00,2/9/2020 0:00,new,GB
32,3783,0,annual,net revenue,301.37,NULL,NULL,2/9/2020 0:00,2/9/2020 0:00,new,US
33,139837,0,monthly,net revenue,39.95,NULL,NULL,2/10/2020 0:00,2/10/2020 0:00,new,
6627,12852,0,lifetime,net revenue,199,NULL,NULL,2/10/2020 2:00,2/10/2020 2:00,new,US
6628,8679,0,lifetime,net revenue,199,NULL,NULL,2/10/2020 2:00,2/10/2020 2:00,new,DE
34,139836,0,monthly,net revenue,43.55,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,new,
35,23221,0,monthly,net revenue,43.32,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,new,FR
36,139815,0,monthly,net revenue,36,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,new,
37,2481,0,annual,net revenue,203.2,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,new,AU
38,139775,0,annual,net revenue,221.52,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,new,
7011,14960,0,annual,net revenue,184.44,NULL,NULL,2/11/2020 2:00,2/11/2020 2:00,new,AU
7012,3147,0,annual,net revenue,184.44,NULL,NULL,2/11/2020 2:00,2/11/2020 2:00,new,ZA
39,43313,0,monthly,net revenue,28.8,NULL,NULL,2/13/2020 0:00,2/13/2020 0:00,new,UA
40,5235,0,annual,net revenue,200.3,NULL,NULL,2/14/2020 0:00,2/14/2020 0:00,new,US
41,2633,0,annual,net revenue,223.02,NULL,NULL,2/14/2020 0:00,2/14/2020 0:00,new,NL
42,36407,0,monthly,net revenue,45.07,NULL,NULL,2/14/2020 0:00,2/14/2020 0:00,new,IE
43,111756,0,monthly,net revenue,34.38,NULL,NULL,2/15/2020 0:00,2/15/2020 0:00,new,DE
44,109048,0,monthly,net revenue,28.8,NULL,NULL,2/15/2020 0:00,2/15/2020 0:00,new,TH
45,19477,0,annual,net revenue,200.12,NULL,NULL,2/15/2020 0:00,2/15/2020 0:00,new,US
46,5325,0,annual,net revenue,278.4,NULL,NULL,2/15/2020 0:00,2/15/2020 0:00,new,US
47,23811,0,annual,net revenue,184.44,NULL,NULL,2/16/2020 0:00,2/16/2020 0:00,new,US
48,94985,0,monthly,net revenue,42.86,NULL,NULL,2/16/2020 0:00,2/16/2020 0:00,new,DE
49,19342,0,annual,net revenue,278.4,NULL,NULL,2/16/2020 0:00,2/16/2020 0:00,new,PE
7009,2438,0,annual,net revenue,184.44,NULL,NULL,2/16/2020 2:00,2/16/2020 2:00,new,US
7010,3472,0,annual,net revenue,184.44,NULL,NULL,2/16/2020 2:00,2/16/2020 2:00,new,US
50,134790,0,annual,net revenue,278.4,NULL,NULL,2/17/2020 0:00,2/17/2020 0:00,new,
51,100885,0,monthly,net revenue,43.9,NULL,NULL,2/17/2020 0:00,2/17/2020 0:00,new,ES
52,2377,0,annual,net revenue,184.51,NULL,NULL,2/17/2020 0:00,2/17/2020 0:00,new,RS
53,57432,0,monthly,net revenue,31.79,NULL,NULL,2/17/2020 0:00,2/17/2020 0:00,new,KR
54,138863,0,monthly,net revenue,31.25,NULL,NULL,2/17/2020 0:00,2/17/2020 0:00,new,
55,32002,0,monthly,net revenue,28.8,NULL,NULL,2/17/2020 0:00,2/17/2020 0:00,new,US
56,2704,0,annual,net revenue,348,NULL,NULL,2/18/2020 0:00,2/18/2020 0:00,new,US
57,139757,0,monthly,net revenue,36,NULL,NULL,2/18/2020 0:00,2/18/2020 0:00,new,
58,108763,0,monthly,net revenue,28.8,NULL,NULL,2/18/2020 0:00,2/18/2020 0:00,new,RU
59,104986,0,monthly,net revenue,36,NULL,NULL,2/18/2020 0:00,2/18/2020 0:00,new,DE
60,135381,0,monthly,net revenue,28.8,NULL,NULL,2/18/2020 0:00,2/18/2020 0:00,new,
61,6643,0,monthly,net revenue,43.99,NULL,NULL,2/18/2020 0:00,2/18/2020 0:00,new,GB
62,1544,0,annual,net revenue,197.81,NULL,NULL,2/18/2020 0:00,2/18/2020 0:00,new,US
63,4685,0,annual,net revenue,333.85,NULL,NULL,2/19/2020 0:00,2/19/2020 0:00,new,GB
64,134839,0,monthly,net revenue,28.73,NULL,NULL,2/19/2020 0:00,2/19/2020 0:00,new,
65,21966,0,monthly,net revenue,31.18,NULL,NULL,2/19/2020 0:00,2/19/2020 0:00,new,US
66,28074,0,monthly,net revenue,35.05,NULL,NULL,2/19/2020 0:00,2/19/2020 0:00,new,DE
67,5339,0,annual,net revenue,184.44,NULL,NULL,2/19/2020 0:00,2/19/2020 0:00,new,SA
7008,134794,0,annual,net revenue,184.44,NULL,NULL,2/19/2020 2:00,2/19/2020 2:00,new,
68,14303,0,monthly,net revenue,32.01,NULL,NULL,2/20/2020 0:00,2/20/2020 0:00,new,PK
69,25401,0,monthly,net revenue,42.44,NULL,NULL,2/21/2020 0:00,2/21/2020 0:00,new,IN
70,12142,0,annual,net revenue,184.44,NULL,NULL,2/21/2020 0:00,2/21/2020 0:00,new,US
71,18240,0,monthly,net revenue,36,NULL,NULL,2/22/2020 0:00,2/22/2020 0:00,new,US
72,8081,0,annual,net revenue,184.44,NULL,NULL,2/22/2020 0:00,2/22/2020 0:00,new,FR
73,1698,0,annual,net revenue,278.4,NULL,NULL,2/22/2020 0:00,2/22/2020 0:00,new,US
74,3120,0,annual,net revenue,201.5,NULL,NULL,2/22/2020 0:00,2/22/2020 0:00,new,US
7007,127245,0,annual,refund,87,NULL,2/24/2020 15:07,2/22/2020 2:00,2/22/2020 2:00,new,
75,139312,0,monthly,net revenue,29.15,NULL,NULL,2/23/2020 0:00,2/23/2020 0:00,new,
76,22300,0,monthly,net revenue,39.56,NULL,NULL,2/23/2020 0:00,2/23/2020 0:00,new,AU
77,1521,0,annual,net revenue,184.44,NULL,NULL,2/23/2020 0:00,2/23/2020 0:00,new,SA
7006,110652,0,annual,refund,348,NULL,3/4/2020 10:43,2/23/2020 2:00,2/23/2020 2:00,new,FI
78,12092,0,monthly,net revenue,31.18,NULL,NULL,2/24/2020 0:00,2/24/2020 0:00,new,US
79,134798,0,monthly,net revenue,21.26,NULL,NULL,2/24/2020 0:00,2/24/2020 0:00,new,IN
80,134799,0,monthly,net revenue,36,NULL,NULL,2/24/2020 0:00,2/24/2020 0:00,new,
81,1480,0,annual,net revenue,184.44,NULL,NULL,2/25/2020 0:00,2/25/2020 0:00,new,US
82,109870,0,monthly,net revenue,28.8,NULL,NULL,2/25/2020 0:00,2/25/2020 0:00,new,US
83,7100,0,monthly,net revenue,28.8,NULL,NULL,2/25/2020 0:00,2/25/2020 0:00,new,US
84,10194,0,annual,net revenue,328.11,NULL,NULL,2/25/2020 0:00,2/25/2020 0:00,new,IN
85,14543,0,monthly,net revenue,43.92,NULL,NULL,2/25/2020 0:00,2/25/2020 0:00,new,NL
86,19018,0,monthly,net revenue,35.5,NULL,NULL,2/26/2020 0:00,2/26/2020 0:00,new,PL
87,134801,0,monthly,net revenue,42.43,NULL,NULL,2/26/2020 0:00,2/26/2020 0:00,new,
88,19784,0,annual,net revenue,414.65,NULL,NULL,2/27/2020 0:00,2/27/2020 0:00,new,DE
89,32237,0,annual,net revenue,224.77,NULL,NULL,2/27/2020 0:00,2/27/2020 0:00,new,SI
90,65759,0,annual,net revenue,202.71,NULL,NULL,2/27/2020 0:00,2/27/2020 0:00,new,AU
91,134803,0,monthly,net revenue,28.8,NULL,NULL,2/27/2020 0:00,2/27/2020 0:00,new,
92,10131,0,monthly,net revenue,28.8,NULL,NULL,2/27/2020 0:00,2/27/2020 0:00,new,SG
93,34293,0,monthly,net revenue,33.94,NULL,NULL,2/28/2020 0:00,2/28/2020 0:00,new,IN
94,134806,0,monthly,net revenue,45.44,NULL,NULL,2/28/2020 0:00,2/28/2020 0:00,new,FI
95,7548,0,annual,net revenue,278.4,NULL,NULL,2/28/2020 0:00,2/28/2020 0:00,new,US
96,19979,0,monthly,net revenue,34.66,NULL,NULL,2/28/2020 0:00,2/28/2020 0:00,new,FR
7005,11303,0,annual,net revenue,348,NULL,NULL,2/28/2020 2:00,2/28/2020 2:00,new,NO
97,24246,0,monthly,net revenue,19.48,NULL,NULL,2/29/2020 0:00,2/29/2020 0:00,new,US
98,24897,0,monthly,net revenue,38.25,NULL,NULL,1/29/2020 0:00,2/29/2020 0:00,recurring,US
99,72381,0,monthly,net revenue,31.18,NULL,NULL,1/31/2020 0:00,2/29/2020 0:00,recurring,US
100,26416,0,monthly,net revenue,36,NULL,NULL,1/31/2020 0:00,2/29/2020 0:00,recurring,NG
101,2765,0,monthly,net revenue,31.18,NULL,NULL,1/29/2020 0:00,2/29/2020 0:00,recurring,US
102,31627,0,monthly,net revenue,28.8,NULL,NULL,1/29/2020 0:00,2/29/2020 0:00,recurring,US
103,4117,0,monthly,net revenue,36.65,NULL,NULL,2/29/2020 0:00,2/29/2020 0:00,new,CA
104,134808,0,monthly,net revenue,30.6,NULL,NULL,2/29/2020 0:00,2/29/2020 0:00,new,
105,134809,0,annual,net revenue,230.47,NULL,NULL,2/29/2020 0:00,2/29/2020 0:00,new,
106,96894,0,monthly,net revenue,31.25,NULL,NULL,2/29/2020 0:00,2/29/2020 0:00,new,US
107,134810,0,monthly,net revenue,43.55,NULL,NULL,3/1/2020 0:00,3/1/2020 0:00,new,
108,6589,0,annual,net revenue,199.66,NULL,NULL,3/1/2020 0:00,3/1/2020 0:00,new,US
109,71249,0,monthly,net revenue,36,NULL,NULL,3/1/2020 0:00,3/1/2020 0:00,new,RW
110,18222,0,monthly,net revenue,35.77,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,IE
111,23694,0,monthly,net revenue,28.8,NULL,NULL,2/2/2020 0:00,3/2/2020 0:00,recurring,US
112,134813,0,monthly,net revenue,36,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,
113,22118,0,monthly,net revenue,36,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,ZW
114,22735,0,monthly,net revenue,45.16,NULL,NULL,2/2/2020 0:00,3/2/2020 0:00,recurring,SE
115,134814,0,monthly,net revenue,36,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,
116,73179,0,monthly,net revenue,36,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,XX
117,18378,0,annual,net revenue,223.48,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,LV
118,3969,0,lifetime,net revenue,249.9,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,DK
119,134815,0,monthly,net revenue,30.53,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,
120,15328,0,annual,net revenue,184.44,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,US
121,134816,0,annual,net revenue,184.44,NULL,NULL,3/2/2020 0:00,3/2/2020 0:00,new,
122,135384,0,monthly,net revenue,35.69,NULL,NULL,2/3/2020 0:00,3/3/2020 0:00,recurring,
123,125191,0,monthly,net revenue,36,NULL,NULL,2/3/2020 0:00,3/3/2020 0:00,recurring,US
124,20134,0,monthly,net revenue,43.66,NULL,NULL,2/3/2020 0:00,3/3/2020 0:00,recurring,BG
125,134817,0,monthly,net revenue,28.8,NULL,NULL,3/3/2020 0:00,3/3/2020 0:00,new,
126,134818,0,annual,net revenue,278.4,NULL,NULL,3/4/2020 0:00,3/4/2020 0:00,new,
127,6401,0,monthly,net revenue,31.18,NULL,NULL,3/4/2020 0:00,3/4/2020 0:00,new,US
128,19391,0,monthly,net revenue,33.95,NULL,NULL,3/5/2020 0:00,3/5/2020 0:00,new,IN
129,12387,0,monthly,net revenue,32.83,NULL,NULL,2/5/2020 0:00,3/5/2020 0:00,recurring,IN
130,2645,0,annual,net revenue,278.29,NULL,NULL,3/5/2020 0:00,3/5/2020 0:00,new,CA
131,134825,0,monthly,net revenue,35.28,NULL,NULL,3/5/2020 0:00,3/5/2020 0:00,new,
132,128622,0,monthly,net revenue,28.8,NULL,NULL,3/6/2020 0:00,3/6/2020 0:00,new,
133,1924,0,monthly,net revenue,36,NULL,NULL,3/6/2020 0:00,3/6/2020 0:00,new,US
134,13497,0,monthly,net revenue,36.23,NULL,NULL,3/6/2020 0:00,3/6/2020 0:00,new,IE
135,122752,0,annual,net revenue,200.12,NULL,NULL,3/6/2020 0:00,3/6/2020 0:00,new,US
136,5913,0,monthly,net revenue,21.21,NULL,NULL,3/6/2020 0:00,3/6/2020 0:00,new,IN
137,21449,0,monthly,net revenue,43.61,NULL,NULL,3/7/2020 0:00,3/7/2020 0:00,new,GB
138,135382,0,monthly,net revenue,36,NULL,NULL,2/7/2020 0:00,3/7/2020 0:00,recurring,
139,135383,0,monthly,net revenue,30.53,NULL,NULL,2/7/2020 0:00,3/7/2020 0:00,recurring,
140,9508,0,annual,net revenue,184.07,NULL,NULL,3/7/2020 0:00,3/7/2020 0:00,new,CL
141,14806,0,monthly,net revenue,36,NULL,NULL,3/7/2020 0:00,3/7/2020 0:00,new,AE
142,26371,0,monthly,net revenue,35.12,NULL,NULL,3/8/2020 0:00,3/8/2020 0:00,new,GB
143,35511,0,monthly,net revenue,28.8,NULL,NULL,2/8/2020 0:00,3/8/2020 0:00,recurring,US
144,51952,0,monthly,net revenue,28.8,NULL,NULL,2/8/2020 0:00,3/8/2020 0:00,recurring,US
145,2609,0,monthly,net revenue,28.8,NULL,NULL,3/9/2020 0:00,3/9/2020 0:00,new,AE
146,1661,0,annual,net revenue,184.09,NULL,NULL,3/9/2020 0:00,3/9/2020 0:00,new,MX
147,3221,0,monthly,net revenue,36,NULL,NULL,3/9/2020 0:00,3/9/2020 0:00,new,NG
7004,15720,0,annual,net revenue,184.44,NULL,NULL,3/9/2020 2:00,3/9/2020 2:00,new,US
148,28900,0,monthly,net revenue,36.62,NULL,NULL,3/10/2020 0:00,3/10/2020 0:00,new,CA
149,134833,0,monthly,net revenue,28.8,NULL,NULL,3/10/2020 0:00,3/10/2020 0:00,new,
150,134834,0,monthly,net revenue,31.18,NULL,NULL,3/10/2020 0:00,3/10/2020 0:00,new,
151,11794,0,monthly,net revenue,28.8,NULL,NULL,3/10/2020 0:00,3/10/2020 0:00,new,RU
152,125187,0,monthly,net revenue,18,NULL,NULL,3/10/2020 0:00,3/10/2020 0:00,new,TR
153,9598,0,monthly,net revenue,28.8,NULL,NULL,3/11/2020 0:00,3/11/2020 0:00,new,SG
154,23221,0,monthly,net revenue,44.91,NULL,NULL,2/11/2020 0:00,3/11/2020 0:00,recurring,FR
155,30122,0,monthly,net revenue,36.13,NULL,NULL,3/11/2020 0:00,3/11/2020 0:00,new,SG
156,18523,0,annual,net revenue,217.35,NULL,NULL,3/11/2020 0:00,3/11/2020 0:00,new,IN
157,1845,0,annual,net revenue,221.21,NULL,NULL,3/11/2020 0:00,3/11/2020 0:00,new,VN
7003,6699,0,annual,net revenue,184.44,NULL,NULL,3/11/2020 2:00,3/11/2020 2:00,new,HK
158,63905,0,monthly,net revenue,36,NULL,NULL,3/13/2020 0:00,3/13/2020 0:00,new,MU
159,43313,0,monthly,net revenue,28.8,NULL,NULL,2/13/2020 0:00,3/13/2020 0:00,recurring,UA
160,6808,0,monthly,net revenue,43.35,NULL,NULL,3/13/2020 0:00,3/13/2020 0:00,new,DE
161,22943,0,monthly,net revenue,38.97,NULL,NULL,3/14/2020 0:00,3/14/2020 0:00,new,US
162,25173,0,monthly,net revenue,28.8,NULL,NULL,3/14/2020 0:00,3/14/2020 0:00,new,US
163,25173,0,monthly,net revenue,28.8,NULL,NULL,3/14/2020 0:00,3/14/2020 0:00,new,US
164,111756,0,monthly,net revenue,35.17,NULL,NULL,2/15/2020 0:00,3/15/2020 0:00,recurring,DE
165,109048,0,monthly,net revenue,28.8,NULL,NULL,2/15/2020 0:00,3/15/2020 0:00,recurring,TH
166,10338,0,annual,net revenue,184.44,NULL,NULL,3/15/2020 0:00,3/15/2020 0:00,new,RO
167,25243,0,annual,net revenue,225.02,NULL,NULL,3/15/2020 0:00,3/15/2020 0:00,new,IT
168,94985,0,monthly,net revenue,43.99,NULL,NULL,2/16/2020 0:00,3/16/2020 0:00,recurring,DE
169,6301,0,monthly,net revenue,36.48,NULL,NULL,3/16/2020 0:00,3/16/2020 0:00,new,GE
170,1295,0,annual,net revenue,301.37,NULL,NULL,3/16/2020 0:00,3/16/2020 0:00,new,US
171,51865,0,monthly,net revenue,19.12,NULL,NULL,3/16/2020 0:00,3/16/2020 0:00,new,US
172,134840,0,monthly,net revenue,36,NULL,NULL,3/16/2020 0:00,3/16/2020 0:00,new,
173,31880,0,monthly,net revenue,44.13,NULL,NULL,3/17/2020 0:00,3/17/2020 0:00,new,EE
174,778,0,annual,net revenue,219.64,NULL,NULL,3/17/2020 0:00,3/17/2020 0:00,new,DE
175,100885,0,monthly,net revenue,45.21,NULL,NULL,2/17/2020 0:00,3/17/2020 0:00,recurring,ES
176,57432,0,monthly,net revenue,30.68,NULL,NULL,2/17/2020 0:00,3/17/2020 0:00,recurring,KR
177,32002,0,monthly,net revenue,28.8,NULL,NULL,2/17/2020 0:00,3/17/2020 0:00,recurring,US
178,16292,0,annual,net revenue,221.35,NULL,NULL,3/17/2020 0:00,3/17/2020 0:00,new,FR
179,18816,0,monthly,net revenue,36,NULL,NULL,3/17/2020 0:00,3/17/2020 0:00,new,US
180,134841,0,monthly,net revenue,36,NULL,NULL,3/17/2020 0:00,3/17/2020 0:00,new,
181,22660,0,monthly,net revenue,36,NULL,NULL,3/17/2020 0:00,3/17/2020 0:00,new,US
182,134842,0,annual,net revenue,184.44,NULL,NULL,3/18/2020 0:00,3/18/2020 0:00,new,
183,15015,0,annual,net revenue,223.06,NULL,NULL,3/18/2020 0:00,3/18/2020 0:00,new,ES
184,108763,0,monthly,net revenue,28.8,NULL,NULL,2/18/2020 0:00,3/18/2020 0:00,recurring,RU
185,104986,0,monthly,net revenue,36,NULL,NULL,2/18/2020 0:00,3/18/2020 0:00,recurring,DE
186,135381,0,monthly,net revenue,28.8,NULL,NULL,2/18/2020 0:00,3/18/2020 0:00,recurring,
187,6643,0,monthly,net revenue,41.03,NULL,NULL,2/18/2020 0:00,3/18/2020 0:00,recurring,GB
188,13169,0,annual,net revenue,217.42,NULL,NULL,3/19/2020 0:00,3/19/2020 0:00,new,IN
189,21966,0,monthly,net revenue,31.18,NULL,NULL,2/19/2020 0:00,3/19/2020 0:00,recurring,US
190,28074,0,monthly,net revenue,35.51,NULL,NULL,2/19/2020 0:00,3/19/2020 0:00,recurring,DE
191,135298,0,lifetime,net revenue,214,NULL,NULL,3/19/2020 0:00,3/19/2020 0:00,new,
